"town","tract","lon","lat","medv","cmedv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
"Beverly",2172,-71.1920833333333,42.4864166666667,19.6,19.6,0.10328,25,5.13,"0",0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22
"Beverly",2173,-71.1820833333333,42.4914166666667,18.7,18.7,0.14932,25,5.13,"0",0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15
"Beverly",2174,-71.1820833333333,42.4819166666667,16,16,0.17171,25,5.13,"0",0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44
"Beverly",2175,-71.1735833333333,42.4864166666667,22.2,22.2,0.11027,25,5.13,"0",0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73
"Beverly",2176,-71.1595833333333,42.4934166666667,25,25,0.1265,25,5.13,"0",0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5
"Boston Allston-Brighton",1,-71.783475,43.1068875,17.8,17.8,8.98296,0,18.1,"1",0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6
"Boston Allston-Brighton",2,-71.795475,43.1016875,21.7,21.7,3.8497,0,18.1,"1",0.77,6.395,91,2.5052,24,666,20.2,391.34,13.27
"Boston Allston-Brighton",3,-71.801175,43.0996875,22.7,22.7,5.20177,0,18.1,"1",0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48
"Boston Allston-Brighton",4,-71.793475,43.0966875,22.6,22.6,4.26131,0,18.1,"0",0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67
"Boston Allston-Brighton",5,-71.790975,43.0929875,25,25,4.54192,0,18.1,"0",0.77,6.398,88,2.5182,24,666,20.2,374.56,7.79
"Boston Allston-Brighton",6,-71.786975,43.0996875,19.9,19.9,3.83684,0,18.1,"0",0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19
"Boston Allston-Brighton",7,-71.781475,43.0976875,20.8,20.8,3.67822,0,18.1,"0",0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19
"Boston Allston-Brighton",8,-71.786975,43.1046875,16.8,16.8,4.22239,0,18.1,"1",0.77,5.803,89,1.9047,24,666,20.2,353.04,14.64
"Boston Back Bay",101,-71.8055,43.11105,21.9,21.9,3.47428,0,18.1,"1",0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29
"Boston Back Bay",102,-71.806,43.10875,27.5,27.5,4.55587,0,18.1,"0",0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12
"Boston Back Bay",104,-71.8005,43.10645,21.9,21.9,3.69695,0,18.1,"0",0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14
"Boston Back Bay",105,-71.7973,43.10825,23.1,23.1,13.5222,0,18.1,"0",0.631,3.863,100,1.5106,24,666,20.2,131.42,13.33
"Boston Back Bay",107,-71.7945,43.11175,50,50,4.89822,0,18.1,"0",0.631,4.97,100,1.3325,24,666,20.2,375.52,3.26
"Boston Back Bay",108,-71.7962,43.11375,50,50,5.66998,0,18.1,"1",0.631,6.683,96.8,1.3567,24,666,20.2,375.33,3.73
"Boston Beacon Hill",201,-71.811,43.1182,50,50,6.53876,0,18.1,"1",0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96
"Boston Beacon Hill",202,-71.8105,43.1198,50,50,9.2323,0,18.1,"0",0.631,6.216,100,1.1691,24,666,20.2,366.15,9.53
"Boston Beacon Hill",203,-71.8085,43.122,50,50,8.26725,0,18.1,"1",0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88
"Boston Charlestown",401,-71.8275833333333,43.1375333333333,15,15,19.6091,0,18.1,"0",0.671,7.313,97.9,1.3163,24,666,20.2,396.9,13.44
"Boston Charlestown",402,-71.8248833333333,43.1395333333333,13.9,13.9,15.288,0,18.1,"0",0.671,6.649,93.3,1.3449,24,666,20.2,363.02,23.24
"Boston Charlestown",403,-71.8288833333333,43.1400333333333,13.3,13.3,9.82349,0,18.1,"0",0.671,6.794,98.8,1.358,24,666,20.2,396.9,21.24
"Boston Charlestown",404,-71.8308833333333,43.1383333333333,13.1,13.1,23.6482,0,18.1,"0",0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69
"Boston Charlestown",405,-71.8308833333333,43.1410333333333,10.2,10.2,17.8667,0,18.1,"0",0.671,6.223,100,1.3861,24,666,20.2,393.74,21.78
"Boston Charlestown",406,-71.8368833333333,43.1435333333333,10.4,10.4,88.9762,0,18.1,"0",0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21
"Boston Dorchester",1001,-71.8968363636364,43.2041090909091,12.7,12.7,4.66883,0,18.1,"0",0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01
"Boston Dorchester",1002,-71.8966363636364,43.2006090909091,13.5,13.5,8.20058,0,18.1,"0",0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94
"Boston Dorchester",1003,-71.8926363636364,43.1996090909091,14.9,14.9,7.75223,0,18.1,"0",0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23
"Boston Dorchester",1004,-71.8881363636364,43.1996090909091,20,20,6.80117,0,18.1,"0",0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7
"Boston Dorchester",1005,-71.8881363636364,43.2034090909091,16.4,16.4,4.81213,0,18.1,"0",0.713,6.701,90,2.5975,24,666,20.2,255.23,16.42
"Boston Dorchester",1006,-71.8801363636364,43.2051090909091,17.7,17.7,3.69311,0,18.1,"0",0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65
"Boston Dorchester",1007,-71.8761363636364,43.2001090909091,19.5,19.5,6.65492,0,18.1,"0",0.713,6.317,83,2.7344,24,666,20.2,396.9,13.99
"Boston Dorchester",1008,-71.8809363636364,43.1981090909091,20.2,20.2,5.82115,0,18.1,"0",0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29
"Boston Dorchester",1009,-71.8901363636364,43.1946090909091,21.4,21.4,7.83932,0,18.1,"0",0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22
"Boston Dorchester",1010,-71.9001363636364,43.1956090909091,19.9,19.9,3.1636,0,18.1,"0",0.655,5.759,48.2,3.0665,24,666,20.2,334.4,14.13
"Boston Dorchester",1011,-71.9001363636364,43.1991090909091,19,19,3.77498,0,18.1,"0",0.655,5.952,84.7,2.8715,24,666,20.2,22.01,17.15
"Boston Downtown",702,-71.8542625,43.182725,11.9,11.9,20.7162,0,18.1,"0",0.659,4.138,100,1.1781,24,666,20.2,370.22,23.34
"Boston Downtown",703,-71.8579625,43.171925,27.9,27.9,11.9511,0,18.1,"0",0.659,5.608,100,1.2852,24,666,20.2,332.09,12.13
"Boston Downtown",705,-71.8589625,43.167925,17.2,17.2,7.40389,0,18.1,"0",0.597,5.617,97.9,1.4547,24,666,20.2,314.64,26.4
"Boston Downtown",706,-71.8607625,43.168925,27.5,27.5,14.4383,0,18.1,"0",0.597,6.852,100,1.4655,24,666,20.2,179.36,19.78
"Boston Downtown",707,-71.8614625,43.170425,15,15,51.1358,0,18.1,"0",0.597,5.757,100,1.413,24,666,20.2,2.6,10.11
"Boston Downtown",708,-71.8639625,43.167725,17.2,17.2,14.0507,0,18.1,"0",0.597,6.657,100,1.5275,24,666,20.2,35.05,21.22
"Boston Downtown",709,-71.8622625,43.165925,17.9,17.9,18.811,0,18.1,"0",0.597,4.628,100,1.5539,24,666,20.2,28.79,34.37
"Boston Downtown",710,-71.8603625,43.164425,16.3,16.3,28.6558,0,18.1,"0",0.597,5.155,100,1.5894,24,666,20.2,210.97,20.08
"Boston East Boston",407,-71.8602916666667,43.1527916666667,10.9,10.9,15.8744,0,18.1,"0",0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08
"Boston East Boston",501,-71.8422916666667,43.1524916666667,11.3,11.3,9.18702,0,18.1,"0",0.7,5.536,100,1.5804,24,666,20.2,396.9,23.6
"Boston East Boston",502,-71.8407916666667,43.1507916666667,12.3,12.3,7.99248,0,18.1,"0",0.7,5.52,100,1.5331,24,666,20.2,396.9,24.56
"Boston East Boston",503,-71.8437916666667,43.1472916666667,8.8,8.8,20.0849,0,18.1,"0",0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63
"Boston East Boston",504,-71.8427916666667,43.1450916666667,7.2,7.2,16.8118,0,18.1,"0",0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81
"Boston East Boston",506,-71.8420916666667,43.1468916666667,10.5,10.5,24.3938,0,18.1,"0",0.7,4.652,100,1.4672,24,666,20.2,396.9,28.28
"Boston East Boston",507,-71.8407916666667,43.1485916666667,7.4,7.4,22.5971,0,18.1,"0",0.7,5,89.5,1.5184,24,666,20.2,396.9,31.99
"Boston East Boston",508,-71.8387916666667,43.1492916666667,10.2,10.2,14.3337,0,18.1,"0",0.7,4.88,100,1.5895,24,666,20.2,372.92,30.62
"Boston East Boston",509,-71.8360916666667,43.1518916666667,11.5,11.5,8.15174,0,18.1,"0",0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85
"Boston East Boston",510,-71.8301916666667,43.1537916666667,15.1,15.1,6.96215,0,18.1,"0",0.7,5.713,97,1.9265,24,666,20.2,394.43,17.11
"Boston East Boston",511,-71.8227916666667,43.1567916666667,23.2,23.2,5.29305,0,18.1,"0",0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76
"Boston East Boston",512,-71.8392916666667,43.1442916666667,9.7,9.7,11.5779,0,18.1,"0",0.7,5.036,97,1.77,24,666,20.2,396.9,25.68
"Boston Forest Hills",1201,-71.9244285714286,43.2153285714286,29.8,29.8,4.64689,0,18.1,"0",0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66
"Boston Forest Hills",1202,-71.9062285714286,43.2143285714286,13.8,13.8,8.05579,0,18.1,"0",0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14
"Boston Forest Hills",1203,-71.9023285714286,43.2192285714286,13.3,13.3,6.39312,0,18.1,"0",0.584,6.162,97.4,2.206,24,666,20.2,302.76,24.1
"Boston Forest Hills",1204,-71.9077285714286,43.2193285714286,16.7,16.7,4.87141,0,18.1,"0",0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68
"Boston Forest Hills",1205,-71.9040285714286,43.2233285714286,12,12,15.0234,0,18.1,"0",0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91
"Boston Forest Hills",1206,-71.9070285714286,43.2226285714286,14.6,14.6,10.233,0,18.1,"0",0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03
"Boston Forest Hills",1207,-71.9182285714286,43.2258285714286,21.4,21.4,14.3337,0,18.1,"0",0.614,6.229,88,1.9512,24,666,20.2,383.32,13.11
"Boston Hyde Park",1401,-71.937425,43.240125,20.6,20.6,2.37857,0,18.1,"0",0.583,5.871,41.9,3.724,24,666,20.2,370.73,13.34
"Boston Hyde Park",1402,-71.932025,43.231625,21.2,21.2,3.67367,0,18.1,"0",0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58
"Boston Hyde Park",1403,-71.928525,43.241125,19.1,19.1,5.69175,0,18.1,"0",0.583,6.114,79.8,3.5459,24,666,20.2,392.68,14.98
"Boston Hyde Park",1404,-71.922025,43.247125,20.6,20.6,4.83567,0,18.1,"0",0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45
"Boston Mattapan",1101,-71.8918666666667,43.2161166666667,19.1,19.1,4.42228,0,18.1,"0",0.584,6.003,94.5,2.5403,24,666,20.2,331.29,21.32
"Boston Mattapan",1102,-71.8958666666666,43.2061166666667,19.1,19.1,15.5757,0,18.1,"0",0.58,5.926,71,2.9084,24,666,20.2,368.74,18.13
"Boston Mattapan",1103,-71.8948666666667,43.2106166666667,20.1,20.1,13.0751,0,18.1,"0",0.58,5.713,56.7,2.8237,24,666,20.2,396.9,14.76
"Boston Mattapan",1104,-71.8998666666667,43.2061166666667,19.9,19.9,4.34879,0,18.1,"0",0.58,6.167,84,3.0334,24,666,20.2,396.9,16.29
"Boston Mattapan",1105,-71.9083666666667,43.2079166666667,19.6,19.6,4.03841,0,18.1,"0",0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87
"Boston Mattapan",1106,-71.9091666666666,43.2131166666667,23.2,23.2,3.56868,0,18.1,"0",0.58,6.437,75,2.8965,24,666,20.2,393.37,14.36
"Boston North End",301,-71.81965,43.131,13.8,13.8,11.1081,0,18.1,"0",0.668,4.906,100,1.1742,24,666,20.2,396.9,34.77
"Boston North End",302,-71.82035,43.129,13.8,13.8,18.4982,0,18.1,"0",0.668,4.138,100,1.137,24,666,20.2,396.9,37.97
"Boston Roxbury",801,-71.8574842105263,43.1832736842105,7,7,45.7461,0,18.1,"0",0.693,4.519,100,1.6582,24,666,20.2,88.27,36.98
"Boston Roxbury",802,-71.8609842105263,43.1800736842105,7.2,7.2,18.0846,0,18.1,"0",0.679,6.434,100,1.8347,24,666,20.2,27.25,29.05
"Boston Roxbury",803,-71.8631842105263,43.1812736842105,7.5,7.5,10.8342,0,18.1,"0",0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79
"Boston Roxbury",805,-71.8652842105263,43.1854736842105,10.4,10.4,25.9406,0,18.1,"0",0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64
"Boston Roxbury",807,-71.8679842105263,43.1836736842105,8.8,8.8,73.5341,0,18.1,"0",0.679,5.957,100,1.8026,24,666,20.2,16.45,20.62
"Boston Roxbury",808,-71.8740842105263,43.1846736842105,8.4,8.4,11.8123,0,18.1,"0",0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
"Boston Roxbury",809,-71.8772842105263,43.1837736842105,16.7,16.7,11.0874,0,18.1,"0",0.718,6.411,100,1.8589,24,666,20.2,318.75,15.02
"Boston Roxbury",810,-71.8804842105263,43.1865736842105,14.2,14.2,7.02259,0,18.1,"0",0.718,6.006,95.3,1.8746,24,666,20.2,319.98,15.7
"Boston Roxbury",811,-71.8819842105263,43.1817736842105,20.8,20.8,12.0482,0,18.1,"0",0.614,5.648,87.6,1.9512,24,666,20.2,291.55,14.1
"Boston Roxbury",812,-71.8773842105263,43.1795736842105,13.4,13.4,7.05042,0,18.1,"0",0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29
"Boston Roxbury",813,-71.8744842105263,43.1767736842105,11.7,11.7,8.79212,0,18.1,"0",0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16
"Boston Roxbury",814,-71.8731842105263,43.1814736842105,8.3,8.3,15.8603,0,18.1,"0",0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39
"Boston Roxbury",815,-71.8712842105263,43.1784736842105,10.2,10.2,12.2472,0,18.1,"0",0.584,5.837,59.7,1.9976,24,666,20.2,24.65,15.69
"Boston Roxbury",816,-71.8696842105263,43.1808736842105,10.9,10.9,37.6619,0,18.1,"0",0.679,6.202,78.7,1.8629,24,666,20.2,18.82,14.52
"Boston Roxbury",817,-71.8675842105263,43.1787736842105,11,11,7.36711,0,18.1,"0",0.679,6.193,78.1,1.9356,24,666,20.2,96.73,21.52
"Boston Roxbury",818,-71.8639842105263,43.1767736842105,9.5,9.5,9.33889,0,18.1,"0",0.679,6.38,95.6,1.9682,24,666,20.2,60.72,24.08
"Boston Roxbury",819,-71.8701842105263,43.1737736842105,14.5,14.5,8.49213,0,18.1,"0",0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64
"Boston Roxbury",820,-71.8659842105263,43.1727736842105,14.1,14.1,10.0623,0,18.1,"0",0.584,6.833,94.3,2.0882,24,666,20.2,81.33,19.69
"Boston Roxbury",821,-71.8674842105263,43.1701736842105,16.1,16.1,6.44405,0,18.1,"0",0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03
"Boston Savin Hill",901,-71.8881,43.186,14.3,14.3,5.58107,0,18.1,"0",0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22
"Boston Savin Hill",902,-71.8861,43.1887,11.7,11.7,13.9134,0,18.1,"0",0.713,6.208,95,2.2222,24,666,20.2,100.63,15.17
"Boston Savin Hill",903,-71.8846,43.1912,13.4,13.4,11.1604,0,18.1,"0",0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27
"Boston Savin Hill",904,-71.8841,43.1938,9.6,9.6,14.4208,0,18.1,"0",0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05
"Boston Savin Hill",905,-71.8831,43.1962,8.7,8.2,15.1772,0,18.1,"0",0.74,6.152,100,1.9142,24,666,20.2,9.32,26.45
"Boston Savin Hill",906,-71.8831,43.1983,8.4,8.4,13.6781,0,18.1,"0",0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02
"Boston Savin Hill",907,-71.8756,43.1985,12.8,12.8,9.39063,0,18.1,"0",0.74,5.627,93.9,1.8172,24,666,20.2,396.9,22.88
"Boston Savin Hill",908,-71.8707,43.197,10.5,10.5,22.0511,0,18.1,"0",0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11
"Boston Savin Hill",910,-71.8731,43.1895,17.1,17.1,9.72418,0,18.1,"0",0.74,6.406,97.2,2.0651,24,666,20.2,385.96,19.52
"Boston Savin Hill",911,-71.8726,43.1935,18.4,14.8,5.66637,0,18.1,"0",0.74,6.219,100,2.0048,24,666,20.2,395.69,16.59
"Boston Savin Hill",912,-71.8764,43.1937,15.4,15.4,9.96654,0,18.1,"0",0.74,6.485,100,1.9784,24,666,20.2,386.73,18.85
"Boston Savin Hill",913,-71.8791,43.1965,10.8,10.8,12.8023,0,18.1,"0",0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79
"Boston Savin Hill",914,-71.8811,43.1935,11.8,11.8,10.6718,0,18.1,"0",0.74,6.459,94.8,1.9879,24,666,20.2,43.06,23.98
"Boston Savin Hill",915,-71.8776,43.1913,14.9,14.9,6.28807,0,18.1,"0",0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79
"Boston Savin Hill",916,-71.8756,43.1885,12.6,12.6,9.92485,0,18.1,"0",0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44
"Boston Savin Hill",917,-71.8786,43.1865,14.1,14.1,9.32909,0,18.1,"0",0.713,6.185,98.7,2.2616,24,666,20.2,396.9,18.13
"Boston Savin Hill",918,-71.8814,43.189,13,13,7.52601,0,18.1,"0",0.713,6.417,98.3,2.185,24,666,20.2,304.21,19.31
"Boston Savin Hill",919,-71.8846,43.1855,13.4,13.4,6.71772,0,18.1,"0",0.713,6.749,92.6,2.3236,24,666,20.2,0.32,17.44
"Boston Savin Hill",920,-71.8796,43.184,15.2,15.2,5.44114,0,18.1,"0",0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73
"Boston Savin Hill",921,-71.8726,43.1835,16.1,16.1,5.09017,0,18.1,"0",0.713,6.297,91.8,2.3682,24,666,20.2,385.09,17.27
"Boston Savin Hill",922,-71.8786,43.1815,17.8,17.8,8.24809,0,18.1,"0",0.713,7.393,99.3,2.4527,24,666,20.2,375.87,16.74
"Boston Savin Hill",923,-71.8841,43.1813,14.9,14.4,9.51363,0,18.1,"0",0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71
"Boston Savin Hill",924,-71.8896,43.1825,14.1,14.1,4.75237,0,18.1,"0",0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13
"Boston South Boston",601,-71.8391615384615,43.1595384615385,13.8,13.8,8.64476,0,18.1,"0",0.693,6.193,92.6,1.7912,24,666,20.2,396.9,15.17
"Boston South Boston",602,-71.8424615384615,43.1578384615385,12.7,12.7,13.3598,0,18.1,"0",0.693,5.887,94.7,1.7821,24,666,20.2,396.9,16.35
"Boston South Boston",603,-71.8444615384615,43.1581384615385,13.1,13.1,8.71675,0,18.1,"0",0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12
"Boston South Boston",604,-71.8484615384615,43.1578384615385,12.5,12.5,5.87205,0,18.1,"0",0.693,6.405,96,1.6768,24,666,20.2,396.9,19.37
"Boston South Boston",605,-71.8474615384615,43.1609384615385,8.5,8.5,7.67202,0,18.1,"0",0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92
"Boston South Boston",606,-71.8454615384615,43.1675384615385,5,5,38.3518,0,18.1,"0",0.693,5.453,100,1.4896,24,666,20.2,396.9,30.59
"Boston South Boston",607,-71.8554615384615,43.1617384615385,6.3,6.3,9.91655,0,18.1,"0",0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97
"Boston South Boston",608,-71.8550615384615,43.1596384615385,5.6,5.6,25.0461,0,18.1,"0",0.693,5.987,100,1.5888,24,666,20.2,396.9,26.77
"Boston South Boston",609,-71.8524615384615,43.1600384615385,7.2,7.2,14.2362,0,18.1,"0",0.693,6.343,100,1.5741,24,666,20.2,396.9,20.32
"Boston South Boston",610,-71.8524615384615,43.1573384615385,12.1,12.1,9.59571,0,18.1,"0",0.693,6.404,100,1.639,24,666,20.2,376.11,20.31
"Boston South Boston",612,-71.8556615384615,43.1565384615385,8.3,8.3,24.8017,0,18.1,"0",0.693,5.349,96,1.7028,24,666,20.2,396.9,19.77
"Boston South Boston",613,-71.8569615384615,43.1586384615385,8.5,8.5,41.5292,0,18.1,"0",0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38
"Boston South Boston",614,-71.8544615384615,43.1642384615385,5,5,67.9208,0,18.1,"0",0.693,5.683,100,1.4254,24,666,20.2,384.97,22.98
"Boston West Roxbury",1301,-71.924975,43.235425,23,23,5.82401,0,18.1,"0",0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74
"Boston West Roxbury",1302,-71.919175,43.234425,23.7,23.7,5.70818,0,18.1,"0",0.532,6.75,74.9,3.3317,24,666,20.2,393.07,7.74
"Boston West Roxbury",1303,-71.914175,43.227925,25,25,5.73116,0,18.1,"0",0.532,7.061,77,3.4106,24,666,20.2,395.28,7.01
"Boston West Roxbury",1304,-71.921675,43.222225,21.8,21.8,2.81838,0,18.1,"0",0.532,5.762,40.3,4.0983,24,666,20.2,392.92,10.42
"Braintree",4191,-71.6612,42.9628375,23.8,23.8,0.1676,0,7.38,"0",0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2
"Braintree",4192,-71.6502,42.9678375,23.1,23.1,0.18159,0,7.38,"0",0.493,6.376,54.3,4.5404,5,287,19.6,396.9,6.87
"Braintree",4193,-71.6427,42.9705375,20.4,20.4,0.35114,0,7.38,"0",0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7
"Braintree",4194,-71.6361,42.9713375,18.5,18.5,0.28392,0,7.38,"0",0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74
"Braintree",4195,-71.6422,42.9603375,25,25,0.34109,0,7.38,"0",0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12
"Braintree",4196,-71.6527,42.9404375,24.6,24.6,0.19186,0,7.38,"0",0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08
"Braintree",4197,-71.6522,42.9513375,23,23,0.30347,0,7.38,"0",0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15
"Braintree",4198,-71.6627,42.9553375,22.2,22.2,0.24103,0,7.38,"0",0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79
"Brookline",4001,-71.4907666666667,42.8151333333333,50,50,0.61154,20,3.97,"0",0.647,8.704,86.9,1.801,5,264,13,389.7,5.12
"Brookline",4002,-71.4955666666667,42.8155333333333,36,36,0.66351,20,3.97,"0",0.647,7.333,100,1.8946,5,264,13,383.29,7.79
"Brookline",4003,-71.4993666666667,42.8153333333333,30.1,30.1,0.65665,20,3.97,"0",0.647,6.842,100,2.0107,5,264,13,391.93,6.9
"Brookline",4004,-71.5028666666667,42.8118333333333,33.8,33.8,0.54011,20,3.97,"0",0.647,7.203,81.8,2.1121,5,264,13,392.8,9.59
"Brookline",4005,-71.5018666666667,42.8098333333333,43.1,43.1,0.53412,20,3.97,"0",0.647,7.52,89.4,2.1398,5,264,13,388.37,7.26
"Brookline",4006,-71.5063666666667,42.8078333333333,48.8,48.8,0.52014,20,3.97,"0",0.647,8.398,91.5,2.2885,5,264,13,386.86,5.91
"Brookline",4007,-71.4978666666667,42.8058333333333,31,31,0.82526,20,3.97,"0",0.647,7.327,94.5,2.0788,5,264,13,393.42,11.25
"Brookline",4008,-71.4938666666667,42.8108333333333,36.5,36.5,0.55007,20,3.97,"0",0.647,7.206,91.6,1.9301,5,264,13,387.89,8.1
"Brookline",4009,-71.4928666666667,42.8078333333333,22.8,22.8,0.76162,20,3.97,"0",0.647,5.56,62.8,1.9865,5,264,13,392.4,10.45
